SMILES_spectra,CAS,Molecular_Formula,Precursor_m/z,Spectrum,Ionization_Mode,Instrument_Type,Collision_Energy,SMILES_tox,Response_Modifier,Response,Response_Unit
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0385:0.879215 81.0334:100.000000 136.0617:1.811024 148.0616:23.159813 166.0722:0.124234 171.0666:0.134411 173.0695:2.358081 188.0929:7.103775 198.0774:0.388637 216.0878:66.880352','positive','LC-ESI-QFT','30','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','87-42-3','C10H9N5O','216.088','53.0385:0.281301 81.0335:44.136496 136.0618:0.592327 148.0617:20.485221 166.0725:0.163070 173.0697:1.089716 188.093:3.009848 198.0774:0.146630 216.0879:100.000000','positive','LC-ESI-QFT','15','C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1','>',5000,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','53.0023:0.157886 57.0699:0.621214 63.0229:0.173441 65.0386:7.821540 67.0542:0.837579 85.0648:0.822376 91.0542:100.000000 119.0353:0.519871 121.0507:0.266659 148.0618:0.991056','positive','LC-ESI-QFT','90','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','57.0335:0.106587 57.0699:0.615343 65.0386:3.160938 67.0542:0.701057 85.0648:1.362275 91.0543:100.000000 119.0354:0.149546 121.0508:0.172810 148.0618:2.127103 226.1093:0.236031','positive','LC-ESI-QFT','75','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','57.0698:0.384075 65.0385:1.100612 67.0541:0.616516 85.0647:1.906079 91.0542:100.000000 148.0617:3.178248 226.1086:4.765205','positive','LC-ESI-QFT','60','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','57.0699:0.292508 65.0385:0.370603 67.0542:0.384367 85.0648:3.117573 91.0542:100.000000 148.0618:5.120753 226.1088:55.501030','positive','LC-ESI-QFT','45','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','85.0648:1.023682 91.0542:11.500592 148.0617:0.755381 226.1087:100.000000 310.1659:0.316217','positive','LC-ESI-QFT','30','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','2312-73-4','C17H19N5O','310.1662','85.0647:0.110276 91.0546:1.023047 226.1086:100.000000 310.1662:20.032828','positive','LC-ESI-QFT','15','C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1','',1640,'mg/kg'
'C1=CC(=CC=N1)C1=CC=NC=C1','553-26-4','C10H8N2','157.076','51.0229:1.093008 53.0386:2.984281 54.0338:0.522833 77.0385:1.206118 78.0338:6.711178 79.0415:0.796298 80.0495:2.371002 97.0076:0.687710 102.0464:1.117042 103.0542:15.121582 104.0495:3.350951 105.0448:2.809311 117.0572:2.383556 128.0495:3.340880 129.0573:1.174616 130.0652:31.433682 140.0496:0.512039 142.0526:5.555203 155.0605:5.326408 156.0682:11.754053 157.0761:100.000000','positive','LC-ESI-QFT','90','C1=CC(=CC=N1)C1=CC=NC=C1','',172,'mg/kg'
'C1=CC(=CC=N1)C1=CC=NC=C1','553-26-4','C10H8N2','157.076','51.023:0.105632 53.0386:0.427635 54.0338:0.150067 77.0385:0.120815 78.0338:1.651840 79.0415:0.117719 80.0494:0.849120 97.0075:0.384268 102.0464:0.167687 103.0542:3.497536 104.0494:0.820351 105.0447:0.463401 117.0573:0.831327 128.0496:0.533019 129.0572:0.159971 130.0651:12.160690 140.0497:0.158045 142.0526:1.792558 155.0604:1.226182 156.0682:4.819100 157.076:100.000000','positive','LC-ESI-QFT','75','C1=CC(=CC=N1)C1=CC=NC=C1','',172,'mg/kg'
'C1=CC(=CC=N1)C1=CC=NC=C1','553-26-4','C10H8N2','157.076','130.0652:0.274791 157.076:100.000000','positive','LC-ESI-QFT','45','C1=CC(=CC=N1)C1=CC=NC=C1','',172,'mg/kg'
'C1=CC(=CC=N1)C1=CC=NC=C1','553-26-4','C10H8N2','157.076','157.076:100.000000','positive','LC-ESI-QFT','30','C1=CC(=CC=N1)C1=CC=NC=C1','',172,'mg/kg'
'C1=CC(=CC=N1)C1=CC=NC=C1','553-26-4','C10H8N2','157.076','157.076:100.000000','positive','LC-ESI-QFT','15','C1=CC(=CC=N1)C1=CC=NC=C1','',172,'mg/kg'
